QID,State,Region,Q1.Malaysian_Citizen,Q2.Gender,Q3.Living_Area,Q4.4.Age,Q5.Ethnic_Group_Recode,Q6.Norms_Number_of_Meals_Per_Day,Q6.Norms_Number_of_Meals_Per_Day_Recode,Q7.Norms_Number_of_food_intakes_in_between_meals,Q8.1.Norms_for_Breakfast,Q8.2.Norms_for_Brunch,Q8.3.Norms_for_Lunch,Q8.4.Norms_for_Dinner,Q8.5.Norms_for_Supper,Q8.6.Norms_for_Snack,Q8.7.Norms_for_TeaTime,Q9.1.Number._of_Times_Eat_at_Home_Last_Week,Q9.2.Number_of_Times_Eat_Outside_Last_Week,Q9.Total_Food_Intake_the_Week_Before,Q11_1_Rice_Frequency_Basis,Q11_1_Rice_Frequency,Q11_2_Flavoured_Rice_Freuency_Basis,Q11_2_Flavoured_Rice_Frequency,Q11_3_Noodles_Freuency_Basis,Q11_3_Noodles_Frequency,Q11_4_Mihun..._Frequency_Basis,Q11_4_Mihun..._Frequency,Q11_5_Sagu...._Frequency_Basis,Q11_5_Sagu...._Frequency,Q11_6_Bread_Frequency_Basis,Q11_6_Bread_Frequency,Q11_7_Roti_Canai_Frequency_Basis,Q11_7_Roti_Canai_Frequency,Q11_8_Corn_Frequency_Basis,Q11_8_Corn_Frequency,Q11_9_ChickenDuck_Frequency_Basis,Q11_9_ChickenDuck_Frequency,Q11_10_Meat_Frequency_Basis,Q11_10_Meat_Frequency_Frequency,Q11_10_Meat_Frequency_Average_day,Q11_11_Pork_Frequency_Basis,Q11_11_Pork_Frequency,Q11_12_OtherMeat_Frequency_Basis,Q11_12_OtherMeat_Frequency,Q11_13_Fish_Frequency_Basis,Q11_13_Fish_Frequency,Q11_14_FishCrackers_Frequency_Basis,Q11_14_FishCrackers_Frequency,Q11_15_Eggs_Frequency_Basis,Q11_15_Eggs_Frequency,Q11_16_Burger_Frequency_Basis,Q11_16_Burger_Frequency,Q11_17_FriedChicken_Frequency_Basis,Q11_17_FriedChicken_Frequency,Q11_18_Legumes_Frequency_Basis,Q11_18_Legumes_Frequency,Q11_19_Groundnuts_Frequency_Basis,Q11_19_Groundnuts_Frequency,Q11_20_SoyaBeanCurd_Frequency_Basis,Q11_20_SoyaBeanCurd_Frequency,Q11_21_FermentedSoyBeans_Frequency_Basis,Q11_21_FermentedSoyBeans_Frequency,Q11_22_Milk_Frequency_Basis,Q11_22_Milk_Frequency,Q11_23_MilkShake_Frequency_Basis,Q11_23_MilkShake_Frequency,Q11_24_GreenLeafyVegetables_Frequency_Basis,Q11_24_GreenLeafyVegetables_Frequency,Q11_25_LadiesFinger_Frequency_Basis,Q11_25_LadiesFinger_Frequency,Q11_26_OtherLegumes_Frequency_Basis,Q11_26_OtherLegumes_Frequency,Q11_27_BeanSprout_Frequency_Basis,Q11_27_BeanSprout_Frequency,Q11_28_Tubers_Frequency_Basis,Q11_28_Tubers_Frequency,Q11_29_Cabbages_Frequency_Basis,Q11_29_Cabbages_Frequency,Q11_30_FruitVegetables_Frequency_Basis,Q11_30_FruitVegetables_Frequency,Q11_31_SoyMilk_Frequency_Basis,Q11_31_SoyMilk_Frequency,Q11_32_ChocolateMaltDrink_Frequency_Basis,Q11_32_ChocolateMaltDrink_Frequency,Q12_Who_Cook,Q13_Food_Statement,Q14.1_1st_Dish_Represent_Malaysian_Food_Exact_Answer,Q14.2_2nd_Dish_Represent_Malaysian_Food_Exact_Answer,Q14bis_NasiLemak_Present_Malaysian_Food,Q15.1_Eating_Well_1st,Q15.2_Eating_Well_2nd,Q16.1_Food_Beneficial_1st_Exact_Answer,Q16.2_Food_Beneficial_2nd_Exact_Answer,Q17.1_Food_to_Reduce_1st_Exact_Answer,Q17.2_Food_to_Reduce_2nd_Exact_Answer,Q18.1_Top3Risks_Risk1,Q18.2_Top3Risks_Risk2,Q18.3_Top3Risks_Risk3,Q19a_Cultural_Identity_1_Exact_Answer,Q19a_Cultural_Identity_2_Exact_Answer,Q19a_Cultural_Identity_3_Exact_Answer,Q19b.1_Rank_3_Identity_1,Q19b.2_Rank_3_Identity_2,Q19b.3_Rank_3_Identity_3,Q20.1_Race_Mother,Q20.2_Race_Father,Q20.3_Race_Grandmother_Mother,Q20.4_Race_Grandfather_Mother,Q20.5_Race_Grandmother_Father,Q20.6_Race_Grandfather_Father,Q21.1_Spoken_Language_1,Q21.2_Spoken_Language_2,Q21.3_Spoken_Language_3,Q21.4_Spoken_Language_4,Q21.5_Spoken_Language_5,Q21.6_Spoken_Language_6,Q21.10_Spoken_Language_7,Q21.11_Spoken_Language_8,Q22a_Current_Religion,Q22b_Convert_Religion,Q22c_Previous_Religion,Q23_Influence_Religion_on_FoodHabits,Q24_Height_CM,Q24_Recode_Height_M,Q25_Weight,BMI,Q26.1_1st_Occupation_Original_Answer,Q26.2_2nd_Occupation_Original_Answer,Q27_Occupation_Father_Original_Answer,Q28_Level_of_Education,Q29a_Marital_Status,Q29b_Spouse_Ethnicity,Q30_Children_Number,Q31_Family_Members_Number,Q32_Income_Average_RM_Recode_All,Q33_Changes_Personal_Income,Q34_Permission_Contact
1068,Perak,Central,Yes,Male,SubUrban,23,Malay,2 meals per day,1 or 2 Meal(s),Never,Cereals with Milk +/- Beverage,Cereals with Milk +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",Only Beverage,10,12,22,Daily,1.0,Weekly,1,Seldom,0,Daily,1,Seldom,0,Weekly,2,Seldom,0,Monthly,1,Weekly,5,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,5,Seldom,0,Weekly,1.0,Monthly,2,Weekly,1,Seldom,0,Seldom,0,Monthly,2,Weekly,4,Daily,1,Weekly,3,Weekly,1,Weekly,1,Monthly,2,Weekly,1,Daily,1,Seldom,0,Seldom,0,I hardly cook at home,Food must be first of all a need,Fried BeeHoon,Sambal Belacan,Agree,Pleasure,Fill the stomach,Oily Food,Fruits,Vegetables contain pesticides,Kuih,Contamination by Pollutant,Germs or bacteria in Food,Food epidemic,Respectful,Helpful,Good,Chinese,Malaysian,Buddhist,Malay,Malay,Malay,Malay,Malay,Malay,Malay,English,,,,,,,Muslim,No,Not converted,Very religious,168.0,1.68,68.0,24.09297052154195,Clerk,,Clerk,College / University,Single or never married,,0.0,2,5000,Have increased more than 10%,Yes
198,Johor,South,Yes,Male,SubUrban,42,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",,18,3,21,Daily,1.0,Monthly,1,Weekly,2,Weekly,1,Seldom,0,Weekly,2,Monthly,1,Seldom,0,Weekly,3,Monthly,1,0.03,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,2,Monthly,1,Weekly,2.0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Monthly,2,Monthly,1,Weekly,2,Weekly,1,Weekly,2,Monthly,1,Weekly,2,Weekly,1,Weekly,1,Monthly,2,Monthly,3,My wife,Food must be first of all a pleasure,Asam pedas,Roti canai,Agree,Pleasure,Fill the stomach,Fruits,Vegetables,Carbonated Drinks,Salty Food,Pesticides on agricultural products,Genetically Modify Organism (GMO),Expired food,Pray,Eat halal,Wear tudung,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,156.0,1.56,60.0,24.654832347140037,Clerk,,Security,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,3.0,5,2500,Have remained more or less stable,No
199,Johor,South,Yes,Male,SubUrban,46,Malay,3 meals per day,3 Meals,Once or twice a day,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,,1 Dish of Rice / Noodles mixed with other food in the plate ( incl Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,,Only Beverage,,14,7,21,Daily,1.0,Monthly,1,Weekly,1,Weekly,1,Seldom,0,Weekly,2,Monthly,1,Seldom,0,Weekly,3,Monthly,1,0.03,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,3,Monthly,1,Weekly,3.0,Seldom,0,Seldom,0,Seldom,0,Monthly,1,Monthly,1,Monthly,1,Weekly,1,Weekly,1,Weekly,1,Monthly,1,Weekly,2,Weekly,1,Monthly,1,Monthly,1,Monthly,2,My wife,Food must be first of all a pleasure,Nasi lemak,Roti canai,Agree,Pleasure,Fill the stomach,Vegetables,Fruits,Oily Food,Carbonated Drinks,Pesticides on agricultural products,Expired food,Contamination by Pollutant,Pray,Eat halal,Wear tudung,Malay,Muslim,Bumiputra,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,162.0,1.62,70.0,26.672763298277697,Lorry Driver,,Farmer,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,2.0,4,2000,Have remained more or less stable,No
1176,Terengganu,East Coast,Yes,Female,SubUrban,35,Malay,3 meals per day,3 Meals,Once or twice a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",14,7,21,Weekly,5.0,Monthly,2,Monthly,2,Monthly,1,Seldom,0,Weekly,2,Monthly,2,Monthly,1,Daily,1,Weekly,1,0.14,Seldom,0.0,Seldom,0,Monthly,2,Weekly,1,Weekly,4,Monthly,1,Monthly,2.0,Seldom,0,Seldom,0,Monthly,2,Monthly,1,Weekly,4,Monthly,1,Weekly,4,Seldom,0,Seldom,0,Weekly,1,Monthly,2,Monthly,1,Monthly,2,Monthly,2,Monthly,1,My Mother,Food must be first of all a need,Nasi Lemak,Roti Canai,Strongly agree,Health,Fill the stomach,Vegetables,Fruits,Sugar,Oily Food,Germs or bacteria in Food,Pesticides on agricultural products,Colouring or preservatives,Polite,Helpful,Respectful,Muslim,Malay,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,156.0,1.56,54.0,22.189349112426033,Student,,Clerk,Upper secondary school SPM / O level,Single or never married,,0.0,6,5000,Have increased more than 10%,Yes
1429,Johor,South,Yes,Female,Urban,46,Malay,2 meals per day,1 or 2 Meal(s),3 - 4 times a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",15,6,21,Weekly,4.0,Monthly,2,Monthly,2,Monthly,2,Seldom,0,Weekly,2,Monthly,1,Monthly,1,Daily,1,Daily,1,1.0,Seldom,0.0,Seldom,0,Monthly,2,Weekly,1,Weekly,1,Monthly,1,Monthly,1.0,Seldom,0,Seldom,0,Monthly,2,Seldom,0,Weekly,5,Monthly,2,Weekly,4,Seldom,0,Seldom,0,Weekly,1,Monthly,1,Seldom,0,Monthly,1,Monthly,1,Monthly,1,Myself,Food must be first of all a need,Roti canai,Lontong,Strongly agree,Health,Pleasure,Mineral Water,Vegetables,Salt,Sugar,Pesticides on agricultural products,Contamination by Pollutant,Food epidemic,Respectful,Helpful,Kind,Bumiputra,Buddhist,Malaysian,Malay,European,Malay,Malay,Bugis,Chinese,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,152.0,1.52,70.0,30.297783933518005,Own business,,Decline to answer,Lower secondary school / SRP,Living in as married (or cohabitation),Malay,2.0,6,5000,Have increased more than 10%,No
1485,Perak,Central,Yes,Male,Urban,46,Chinese,3 meals per day,3 Meals,Never,Only Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,Sandwich / Burger / Savoury Patries +/- Beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,Only Beverage,Fruits / Hot or Cold Dessert +/- Beverage,6,15,21,Weekly,5.0,Weekly,3,Weekly,1,Weekly,1,Seldom,0,Weekly,3,Monthly,1,Seldom,0,Weekly,4,Weekly,2,0.29,Seldom,0.0,Seldom,0,Monthly,2,Seldom,0,Weekly,1,Seldom,0,Weekly,1.0,Monthly,1,Monthly,2,Monthly,3,Monthly,2,Monthly,3,Monthly,2,Weekly,5,Weekly,1,Weekly,3,Monthly,1,Weekly,1,Weekly,5,Monthly,3,Monthly,2,Seldom,0,My wife,Food must be forst of all shared with someone,Chicken Curry,Rendang,Agree,Health,Pleasure,Vegetables,Fish,Oily Food,Sugar,Germs or bacteria in Food,Colouring or preservatives,Pesticides on agricultural products,Mahjong,Ang pao,Mooncake Festival,Muslim,Bumiputra,Malay,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Malay,Cantonese,,,,,,,Buddhist,No,Not converted,Lightly religious,175.0,1.75,68.0,22.20408163265306,Housewife,,Government,Upper secondary school SPM / O level,Married in monogamous marriage,Chinese,1.0,4,4000,Have remained more or less stable,Yes
255,Sabah,East Malaysia,Yes,Male,Rural,28,Non-Malay Bumiputra,3 meals per day,3 Meals,Once or twice a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",Cereals with Milk +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,Only Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,7,14,21,Daily,1.0,Seldom,0,Daily,2,Weekly,3,Seldom,0,Weekly,4,Weekly,3,Monthly,2,Daily,2,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,4,Monthly,3,Weekly,3,Monthly,2,Weekly,2.0,Monthly,1,Monthly,1,Seldom,0,Monthly,1,Weekly,3,Monthly,1,Weekly,4,Seldom,0,Monthly,3,Weekly,3,Monthly,3,Weekly,4,Weekly,3,Weekly,3,Weekly,3,Myself,Food must first of all prevent health problems,Fried rice,Soto,Agree,Pleasure,Fill the stomach,Vegetables,Fruits,Oily Food,Ajinomoto,Pesticides on agricultural products,Unbalance diet to fat or too much sugar,Contamination by Pollutant,Language,Muslim,Mannerly,Malaysian,Bumiputra,Sabahan,Kadazan - Chinese,Bajau,Dusun,Dusun,Bajau,Bajau,Malay,English,,,,,Bajau,Dusun,Muslim,No,Not converted,Moderately religious,155.0,1.55,57.0,23.725286160249738,Clerk,,Shoemaker,College / University,Married in monogamous marriage,Others,0.0,1,2400,Have decreased more than 10%,No
1186,Pahang,East Coast,Yes,Female,Urban,47,Malay,3 meals per day,3 Meals,Once or twice a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,"Small items (Nuts,Fruits,Kuih-Muih,etc) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",21,0,21,Daily,2.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Monthly,3,Monthly,3,Seldom,0,Daily,1,Weekly,2,0.29,Seldom,0.0,Seldom,0,Weekly,1,Weekly,1,Weekly,1,Monthly,1,Weekly,2.0,Seldom,0,Monthly,2,Seldom,0,Seldom,0,Weekly,2,Weekly,2,Daily,1,Seldom,0,Seldom,0,Monthly,2,Weekly,2,Weekly,2,Seldom,0,Monthly,1,Weekly,1,Myself,Food must be first of all a need,Nasi kerabu,Nasi minyak,Agree,Pleasure,Togetherness,Cereal,Milk,Oily Food,Carbohydrates,Food epidemic,Contamination by Pollutant,Germs or bacteria in Food,Respect others religious,Helpful,Healthy,Muslim,Bumiputra,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,150.0,1.5,61.0,27.11111111111111,Laborers,,Technician,Upper secondary school SPM / O level,Married in monogamous marriage,Malay,0.0,4,5000,Have increased more than 10%,Yes
1436,Johor,South,Yes,Male,Urban,46,Malay,2 meals per day,1 or 2 Meal(s),3 - 4 times a day,"Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage","Small items (Nuts, Fruits,Kuih-Muih,etc)+/- Beverage",1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",Only Beverage,21,0,21,Weekly,4.0,Daily,1,Monthly,2,Seldom,0,Seldom,0,Weekly,1,Monthly,3,Monthly,1,Weekly,2,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,2,Seldom,0,Weekly,1,Monthly,1,Monthly,1.0,Seldom,0,Seldom,0,Seldom,0,Seldom,0,Weekly,2,Monthly,1,Weekly,3,Weekly,2,Seldom,0,Seldom,0,Weekly,1,Weekly,2,Weekly,2,Monthly,1,Weekly,1,My wife,Food must be forst of all shared with someone,Nasi lemak,Roti Canai,Strongly agree,Health,Pleasure,Vegetables,Rice,Satay,Snacks,Colouring or preservatives,Contamination by Pollutant,Food epidemic,Use hands to eat,Pray,Celebrate malay festivals,Malay,Malaysian,Muslim,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Moderately religious,175.0,1.75,60.0,19.591836734693878,Own business,,Technician,Primary school,Married in monogamous marriage,Malay,5.0,7,6000,Have remained more or less stable,Yes
1038,Selangor,Central,Yes,Male,Urban,56,Chinese,2 meals per day,1 or 2 Meal(s),Once or twice a day,Breakfast with Toast +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",14,7,21,Daily,1.0,Weekly,1,Weekly,1,Weekly,1,Seldom,0,Monthly,3,Monthly,1,Monthly,1,Daily,1,Seldom,0,0.0,Weekly,2.0,Seldom,0,Weekly,3,Monthly,2,Weekly,1,Seldom,0,Monthly,1.0,Daily,1,Daily,1,Monthly,1,Seldom,0,Weekly,1,Seldom,0,Daily,2,Daily,2,Daily,2,Daily,1,Daily,2,Daily,2,Daily,2,Seldom,0,Seldom,0,Myself,Food must be first of all a need,Melaka Layer Cake,Durian,Disagree,Gives Energy,Pleasure,Tea,Rice,Oily Meat,Eggs,Pesticides on agricultural products,Unbalance diet to fat or too much sugar,Germs or bacteria in Food,Chinese Prayers,Gambling,Pervert,Bumiputra,Muslim,Malay,Chindian,Chinese,Chinese,Chinese,Chinese,Chinese,Cantonese,,,,,,,,No religion,No,Not converted,Decline to answer,170.0,1.7,75.0,25.951557093425606,Housewife,,Decline to answer,No formal education,Single or never married,,0.0,3,3500,Have remained more or less stable,No
1036,Selangor,Central,Yes,Female,Urban,57,Indian,3 meals per day,3 Meals,Once or twice a day,Breakfast with Toast +/- Beverage,1 Dish of Rice / Noodles with shared dishes ( including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage","Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",12,7,19,Daily,2.0,Seldom,0,Weekly,4,Seldom,0,Monthly,2,Weekly,4,Seldom,0,Seldom,0,Weekly,6,Seldom,0,0.0,Weekly,2.0,Weekly,1,Seldom,0,Daily,1,Weekly,2,Weekly,3,Seldom,0.0,Seldom,0,Monthly,2,Seldom,0,Daily,1,Daily,1,Daily,2,Weekly,4,Seldom,0,Seldom,0,Seldom,0,Weekly,4,Weekly,2,Daily,1,Weekly,2,Daily,1,Myself,Food must be first of all a pleasure,Chapati,Roti Canai,Agree,Pleasure,Fill the stomach,Bread,Wheat,Oily Food,Salty Food,Contamination by Pollutant,Food epidemic,Unbalance diet to fat or too much sugar,Multiple languages,Attire,Food,Muslim,Malay,Malaysian,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Indian - Malay,Malay,Tamil,,,,,,,Hindu,No,Not converted,Not religious at all,160.0,1.6,59.0,23.046875,Unemployed,,Own business,Upper secondary school SPM / O level,Living in as married (or cohabitation),Indian,3.0,5,5000,Have remained more or less stable,No
576,Sarawak,East Malaysia,Yes,Male,Urban,20,Chinese,4 meals per day,4 Meals or more,Never,All day Breakfast with Sausage and Eggs +/- Beverage,Sandwich / Burger +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,Sandwich / Burger / Savoury Patries +/- Beverage,Rice / Roti Canai / Noodles +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",4,18,22,Weekly,2.0,Weekly,3,Monthly,7,Weekly,6,Seldom,0,Weekly,3,Monthly,9,Weekly,2,Weekly,11,Daily,1,1.0,Weekly,4.0,Seldom,0,Weekly,4,Monthly,3,Weekly,7,Weekly,5,Monthly,8.0,Seldom,0,Weekly,1,Monthly,2,Weekly,1,Daily,1,Weekly,2,Daily,2,Monthly,5,Seldom,1,Weekly,6,Monthly,7,Weekly,3,Weekly,7,Seldom,0,Weekly,8,My Mother,Food must be first of all a need,Nasi Lemak,Rendang,Agree,Fill the stomach,Gives Energy,Protein,Isotonic Drink,Salt,Sugar,Expired food,Germs or bacteria in Food,Colouring or preservatives,Poco-poco,Bidayuh Language,Gathering,Sarawakian,Malaysian,Non Muslim Bumiputra,Chinese,Bidayuh,Chinese,Bidayuh,Bidayuh,Bidayuh,Malay,English,,,,,Bidayuh,,Christian,No,Not converted,Lightly religious,176.0,1.76,65.0,20.983987603305785,Lecturer,,Dealer,College / University,Single or never married,,0.0,4,5000,Have remained more or less stable,Yes
736,Kedah,North,Yes,Female,Rural,36,Malay,3 meals per day,3 Meals,3 - 4 times a day,Sandwich / Burger +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate +/- Beverage,1 Dish of Rice / Noodles with shared dishes (Including lazy Suzan) +/- Beverage,1 Dish of Rice / Noodles mixed with other food in the plate ( incl. Rice Porridge or Instant Noodles) +/- Beverage,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,"Local/Western Pastries (Kuih Muih, Cakes, Pastries, Sandwich) +/- Beverage",,10,11,21,Daily,2.0,Monthly,4,Weekly,2,Weekly,2,Seldom,0,Daily,1,Weekly,2,Daily,1,Weekly,3,Weekly,1,0.14,Seldom,0.0,Seldom,0,Daily,1,Seldom,0,Daily,3,Weekly,4,Weekly,1.0,Weekly,2,Weekly,1,Weekly,3,Weekly,4,Daily,1,Weekly,2,Weekly,2,Weekly,3,Weekly,1,Weekly,2,Weekly,4,Daily,1,Seldom,0,Seldom,0,Weekly,3,Myself,Food must be first of all a need,Roti Canai,Nasi Kandar,Strongly agree,Gives Energy,Health,Milk,Vegetables,Oily Food,Sugar,Colouring or preservatives,Unbalance diet to fat or too much sugar,Genetically Modify Organism (GMO),Fasting,Pray,Al-Quran,Hindu,Indian,Malaysian,Malay,Malay,Malay,Malay,Malay,Malay,Malay,,,,,,,,Muslim,No,Not converted,Very religious,160.0,1.6,70.0,27.34375,Store assistant,,Decline to answer,College / University,Married in monogamous marriage,Malay,2.0,4,4000,Have remained more or less stable,Yes
1324,Sabah,East Malaysia,Yes,Female,Urban,20,Chinese,3 meals per day,3 Meals,3 - 4 times a day,1 Dish of Rice / Noodles with other food in the plate not mixed +/- Beverage,,1 Dish of Rice / Noodles with other food in the plate not mixed +/- beverage,1 Dish of Rice / Noodles with shared dished (Including lazy Suzan) +/- Beverage,1 Dish of Roti Canai / Thosai / Chapati mixed with curry +/- Beverage,"Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage","Sweet / Savory Snacks (Biscuits, Chocolates, Candies, Chips, Nuts) +/- Beverage",7,14,21,Daily,1.0,Weekly,3,Monthly,2,Weekly,3,Seldom,0,Weekly,1,Weekly,1,Monthly,2,Daily,1,Monthly,2,0.07,Seldom,0.0,Seldom,0,Weekly,1,Seldom,0,Daily,1,Seldom,0,Seldom,0.0,Weekly,1,Monthly,1,Weekly,2,Seldom,0,Monthly,1,Monthly,2,Weekly,5,Weekly,3,Weekly,4,Weekly,2,Weekly,4,Weekly,2,Weekly,2,Weekly,3,Monthly,2,My Mother,Food must be first of all a need,Fried rice,Bihun,Strongly agree,Pleasure,Fill the stomach,Oatmeal,Rice,Sugar,Preservatives,Pesticides on agricultural products,Food epidemic,Food allergens,Traditional clothes,Language,Traditional food,Christian,Sabahan,Malaysian,Chinese,Chinese,Kadazan - Chinese,Kadazan - Chinese,Chinese,Chinese,Malay,,,,,,,,Christian,No,Not converted,Moderately religious,150.0,1.5,40.0,17.77777777777778,Housewife,,Agriculture,Lower secondary school / SRP,Single or never married,,0.0,4,2500,Have remained more or less stable,Yes
